"제목","입력날짜","수정날짜","사용여부","게시물번호(pk)","상세정보링크"
"4월 7일 CA견학후기(사당중 <환경 과학부>)","2007-04-07 18:29:55.0","2007-04-08 21:40:37.0","Y","781","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=781"
"늦게 나마 체험 후기를 적습니다..(에코스쿨)","2007-02-01 15:06:03.0","2007-02-01 15:06:16.0","Y","761","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=761"
"세심한 배려와 친절함에 감사드립니다(에코스쿨)","2007-01-29 10:00:07.0","2007-01-29 10:00:37.0","Y","745","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=745"
"고맙고 유익한 환경체험이었어요(에코스쿨)","2007-01-29 09:59:19.0","2007-01-29 10:01:12.0","Y","744","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=744"
"에코스쿨 체험후기","2007-01-29 09:58:24.0","2007-01-29 09:58:42.0","Y","743","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=743"
"겨울방학-에코스쿨을 다녀와서..","2007-01-29 09:56:36.0","2007-01-29 09:56:47.0","Y","742","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=742"
"유익한시간~(에코스쿨)","2007-01-29 09:54:56.0","2007-01-29 09:55:13.0","Y","741","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=741"
"어른도 신기한 쓰레기 이야기(에코스쿨)","2007-01-25 11:16:38.0","2007-01-25 11:17:05.0","Y","721","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=721"
"유익한 체험이었습니다(에코스쿨)","2007-01-23 14:38:03.0","2007-01-23 14:40:22.0","Y","701","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=701"
"함지박사랑이들","2007-01-22 14:25:41.0","2007-01-25 15:24:51.0","Y","682","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=682"
"다녀온 후...(에코스쿨)","2007-01-22 14:24:49.0","2007-01-22 14:25:00.0","Y","681","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=681"
